product_name,review_text,sentiment
Basic Online Course Learning (BOCL),"Materinya goks abis, auto paham! Instrukturnya juga asik parah, gak ngebosenin. Fix, ini mah worth it!",2
Premium Online Learning (POL),"Platformnya anjay, interaktif banget, jadi gak mager belajar. Bisa diakses kapan aja, mood booster!",2
Private Online Course Learning (POCL),"Mentornya pro player, ngajarnya santuy tapi ngena. Ilmu daging semua, gak kaleng-kaleng!",2
Onsite Course Learning (OCL),"Sumpah, ini kursus paling oke! Ilmunya kepake banget di dunia kerja. Gak nyesel samsek!",2
Private Course Onsite Learning (PCOL),"Sertifikatnya nampol buat naikin CV. Vibes belajarnya juga positif banget. Thank you, PCOL!",2
Basic Online Course Learning (BOCL),"Yah, materinya B aja, kurang update gitu loh. Agak laen ekspektasi gue, hiks.",0
Premium Online Learning (POL),"Instrukturnya kurenggg, ngejelasinnya muter-muter, bikin ngantuk. Skip dulu deh.",0
Private Online Course Learning (POCL),"Platformnya sering nge-lag, anjir. Ganggu banget pas lagi fokus belajar. Capek deh.",0
Onsite Course Learning (OCL),"Sertifikatnya zonk! Gak diakui di mana-mana. Nyesel banget ikut, mana mahal.",0
Private Course Onsite Learning (PCOL),Support after kursusnya mana? Dicuekin dong pertanyaan gue. Red flag nih!,0
Basic Online Course Learning (BOCL),"Materinya standar lah ya. Gak yang gimana-gimana banget, tapi oke buat dasar.",1
Premium Online Learning (POL),"Ada modul yang seru, ada yang B aja. Ya gitu deh, plus minus.",1
Private Online Course Learning (POCL),"Instrukturnya lumayan, tapi ada beberapa part yang bisa lebih detail lagi sih.",1
Onsite Course Learning (OCL),"Platformnya oke lah buat operasional, jarang ada drama teknis.",1
Private Course Onsite Learning (PCOL),"Sertifikatnya dapet, tapi impact-nya belum kerasa banget. So-so aja.",1
Basic Online Course Learning (BOCL),"Harganya sebanding sama ilmunya. Mantap jiwa, investasi leher ke atas!",2
Premium Online Learning (POL),"CS-nya ampas banget, slow respon, gak solutif. Mending cari yang lain.",0
Private Online Course Learning (POCL),"Yaah, sesuai harga lah ya. Gak jelek-jelek amat, tapi gak wow juga.",1
Onsite Course Learning (OCL),"Kualitasnya juara! Gak ada obat, keren abis!",2
Private Course Onsite Learning (PCOL),"Gak sesuai deskripsi, anjir. Kecewa berat, merasa ketipu.",0
Basic Online Course Learning (BOCL),"Gampang dipake, efektif banget. Hasilnya pecah!",2
Premium Online Learning (POL),Zonk parah! Kualitasnya jauh dari ekspektasi. Nyesel pol.,0
Private Online Course Learning (POCL),"Ada plus minusnya sih. Gak semua modul oke, tapi ada yang ngebantu.",1
Onsite Course Learning (OCL),"Lebih dari ekspektasi, guys! Recommended banget buat upgrade skill.",2
Private Course Onsite Learning (PCOL),"Buat basic sih oke lah. Gak terlalu mendalam, tapi cukup.",1
Basic Online Course Learning (BOCL),"Instrukturnya GGWP, ngajarnya asik, bikin semangat. The best pokoknya!",2
Premium Online Learning (POL),"Materinya basi banget, gak relate sama jaman now. Agak laen emang.",0
Private Online Course Learning (POCL),"Abis kursus dicuekin, gak ada follow up. Kecewa sih.",0
Onsite Course Learning (OCL),"Platformnya stabil, jarang error. Lumayan lah buat belajar.",1
Private Course Onsite Learning (PCOL),"Modulnya ada yang menarik, ada yang bikin ngantuk. Tergantung mood.",1
Basic Online Course Learning (BOCL),"Harganya oke, ilmunya dapet. Spill ke temen-temen ah!",2
Premium Online Learning (POL),"Sertifikatnya gak jelas, gak bisa dipake. Rugi bandar!",0
Private Online Course Learning (POCL),"Materinya daging semua, mudah dicerna. Instrukturnya panutanque!",2
Onsite Course Learning (OCL),"Instrukturnya kurang interaktif, kayak ngomong sendiri. Bikin boring.",0
Private Course Onsite Learning (PCOL),Ini sih definisi upgrade skill! Ilmunya langsung kepake. Mantul!,2
Basic Online Course Learning (BOCL),Sertifikatnya auto nambah value di LinkedIn. Keren!,2
Premium Online Learning (POL),"Platformnya user-friendly, gak ribet. Belajar jadi fun!",2
Private Online Course Learning (POCL),"Materinya standar, gak ada yang spesial banget. Ya lumayan buat nambah ilmu.",1
Onsite Course Learning (OCL),"CS-nya payah, responnya lama banget kayak nunggu jodoh.",0
Private Course Onsite Learning (PCOL),Harganya gak sebanding sama yang didapet. Overpriced!,0
Basic Online Course Learning (BOCL),"Adminnya gercep, kalo ada apa-apa langsung dibantuin. Mantap!",2
Premium Online Learning (POL),"Platformnya ribet banget, gak intuitif. Bikin pusing pala barbie.",0
